Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"importDatabaseConnectionSettingsToolStripMenuItem_Click(object, EventArgs) : void",52,3,,13,19
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,InitializeComponent() : void,9,1,,39,602
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,MainSettings(),91,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"MainSettings_Load(object, EventArgs) : void",37,15,,16,60
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"minimizeHomeCheckbox_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"resetAllSettingsButton_Click(object, EventArgs) : void",86,1,,4,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"saveDatabaseSettingsButton_Click(object, EventArgs) : void",66,1,,6,7
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"showQuestionButtonsCheckBox_CheckedChanged(object, EventArgs) : void",70,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"teamComparisonEqualColourButton_Click(object, EventArgs) : void",74,2,,7,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"testConnectionToDatabaseButton_Click(object, EventArgs) : void",50,4,,12,26
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"usernameTextBox_MouseClick(object, MouseEventArgs) : void",84,2,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"usernameTextBox_TextChanged(object, EventArgs) : void",77,2,,4,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MainSettings,"whatIsTheUsernameFieldUsedForToolStripMenuItem_Click(object, EventArgs) : void",92,1,,2,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods, ,58,12,1,15,60
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods,GetNumberOfRowsInATable() : int,56,3,,10,15
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods,GetNumberOfRowsThatContainAValue(int) : int,57,3,,9,14
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods,InitializeDatabases() : void,50,4,,8,22
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods,MakeMySqlConnectionString() : string,64,1,,4,8
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,MySQLMethods,MySQLMethods(),100,1,,0,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Program, ,80,2,1,3,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Program,Main() : void,81,1,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Program,Program(),80,1,,0,3
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation, ,55,18,7,35,150
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyCompany.get() : string,74,2,,3,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyCopyright.get() : string,74,2,,3,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyDescription.get() : string,74,2,,3,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyProduct.get() : string,74,2,,3,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyTitle.get() : string,68,3,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,AssemblyVersion.get() : string,90,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,InitializeComponent() : void,30,1,,23,115
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,"okButton_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ProgramInformation,ProgramInformation(),65,1,,3,8
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertieSettings, ,95,3,1,0,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertieSettings,PropertieSettings(),100,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertieSettings,Username.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertieSettings,Username.set(string) : void,95,1,,0,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm, ,55,7,7,30,81
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm,"exitToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm,InitializeComponent() : void,35,1,,26,73
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm,PropertiesForm(),91,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,PropertiesForm,"PropertiesForm_Load(object, EventArgs) : void",84,1,,3,2
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team, ,92,47,1,0,47
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Author.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Author.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Bins.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Bins.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Litter.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Litter.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Totes.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Can_It_Manipulate_Totes.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Comments.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Comments.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Does_It_have_A_Ramp.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Does_It_have_A_Ramp.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Drive_Train.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Drive_Train.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Front_Picture.get() : byte[],98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Front_Picture.set(byte[]) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Litter_Loading.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Litter_Loading.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Litter_Throwing.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Litter_Throwing.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Tote_Loading.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Human_Tote_Loading.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Left_Isometric_Picture.get() : byte[],98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Left_Isometric_Picture.set(byte[]) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Left_Side_Picture.get() : byte[],98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Left_Side_Picture.set(byte[]) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Max_Bin_On_Stack_Height.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Max_Bin_On_Stack_Height.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Max_Stack_Height.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Max_Stack_Height.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Needs_Special_Starting_Position.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Needs_Special_Starting_Position.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Number_Of_Robots.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Number_Of_Robots.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Other_Picture.get() : byte[],98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Other_Picture.set(byte[]) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,RecycleRush_Pit_Scouting_Team(),100,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Special_Starting_Position.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Special_Starting_Position.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Team_Name.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Team_Name.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Team_Number.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Team_Number.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Time_Created.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,Time_Created.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,UniqueID.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Pit_Scouting_Team,UniqueID.set(string) : void,95,1,,0,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match, ,91,73,1,2,73
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Alliance_Colour.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Alliance_Colour.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Author.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Author.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Acquired_Step_Bins.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Acquired_Step_Bins.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Bin_Set.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Bin_Set.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Did_Nothing.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Did_Nothing.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Drive_To_Autozone.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Drive_To_Autozone.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Fouls.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Fouls.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Robot_Set.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Robot_Set.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Stacked_Tote_Set.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Stacked_Tote_Set.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Starting_X.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Starting_X.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Starting_Y.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Starting_Y.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Tote_Set.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Auto_Tote_Set.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Comments.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Comments.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Coopertition_Set.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Coopertition_Set.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Coopertition_Stack.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Coopertition_Stack.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Driver_Rating.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Driver_Rating.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Final_Score_Blue.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Final_Score_Blue.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Final_Score_Red.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Final_Score_Red.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Match_Number.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Match_Number.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,RecycleRush_Scout_Match(),92,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Robot_Dead.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Robot_Dead.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Team_Name.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Team_Name.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Team_Number.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Team_Number.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Sideways.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Sideways.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Upright.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Upright.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Upside_Down.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Bin_Pickup_Upside_Down.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Fouls.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Fouls.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Insert_Litter.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Insert_Litter.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Load_Totes.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Load_Totes.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Stack_Totes.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Station_Stack_Totes.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Throwing_Litter.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Human_Throwing_Litter.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Pushed_Litter_To_Landfill.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Pushed_Litter_To_Landfill.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Sideways.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Sideways.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Upright.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Upright.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Upside_Down.get() : bool,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,Tele_Tote_Pickup_Upside_Down.set(bool) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,TimeCreated.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,TimeCreated.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,UniqueID.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,RecycleRush_Scout_Match,UniqueID.set(string) : void,95,1,,0,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Team3710Information, ,49,5,8,26,74
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Team3710Information,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Team3710Information,InitializeComponent() : void,36,1,,23,69
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Team3710Information,Team3710Information(),91,1,,1,2
Namespace,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush, , ,33,289,7,117,10396
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East, ,30,57,7,104,2457
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,"gameManualToolStripMenuItem_Click(object, EventArgs) : void",78,1,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,InitializeComponent() : void,0,1,,59,2175
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,"matchBreakdownFieldTypeComboBox_SelectedIndexChanged(object, EventArgs) : void",68,4,,6,7
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,"matchBreakdownMatchList_SelectedIndexChanged(object, EventArgs) : void",43,2,,10,31
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,"matchScoutingDataToolStripMenuItem1_Click(object, EventArgs) : void",49,6,,17,17
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,PlotInitialImage() : void,70,4,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,RecycleRush_GTR_East(),60,1,,7,8
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,"RecycleRush_GTR_East_Load(object, EventArgs) : void",65,2,,4,7
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,ResetMatchBreakdownInterface() : void,48,1,,8,31
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2.Events._2015_RecycleRush,RecycleRush_GTR_East,ResetScoutingInterface() : void,47,1,,6,34
